Family ID,Member ID,Transaction Date,Category,Amount,Income,Savings,Monthly Expenses,Loan Payments,Credit Card Spending,Dependents,Financial Goals Met (%)
FAM001,FAM001_Member1,07-10-2024,Travel,409.12,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,16-10-2024,Travel,270.91,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,17-10-2024,Groceries,91.1,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,25-10-2024,Healthcare,198.23,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,25-10-2024,Education,206.42,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,09-10-2024,Utilities,100.19,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,06-10-2024,Healthcare,116.73,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,23-10-2024,Groceries,440.79,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,26-10-2024,Healthcare,233.17,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,23-10-2024,Travel,267.29,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,10-10-2024,Food,117.96,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,23-10-2024,Entertainment,280.55,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,06-10-2024,Utilities,32.35,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,08-10-2024,Entertainment,29.15,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,05-10-2024,Entertainment,464.35,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,09-10-2024,Food,397.4,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,21-10-2024,Utilities,494.87,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,07-10-2024,Healthcare,66.93,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,21-10-2024,Entertainment,320.01,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,12-10-2024,Entertainment,50.79,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,23-10-2024,Healthcare,139.38,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,05-10-2024,Education,450.18,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,10-10-2024,Entertainment,492.78,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,21-10-2024,Food,15.1,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,12-10-2024,Utilities,367.93,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,09-10-2024,Utilities,135.43,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member1,01-10-2024,Healthcare,332.09,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,31-10-2024,Food,295.8,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,24-10-2024,Travel,347.18,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,31-10-2024,Travel,136.1,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,21-10-2024,Travel,306.13,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,07-10-2024,Food,226.67,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,11-10-2024,Entertainment,109.92,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,21-10-2024,Food,430.53,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,13-10-2024,Utilities,228.57,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,24-10-2024,Travel,222.61,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,05-10-2024,Education,55.91,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,06-10-2024,Education,100.66,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,28-10-2024,Utilities,102.54,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,16-10-2024,Travel,98.4,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,10-10-2024,Groceries,161.98,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,29-10-2024,Utilities,410.57,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,22-10-2024,Healthcare,102.05,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,05-10-2024,Groceries,218.93,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,15-10-2024,Travel,485.49,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,04-10-2024,Travel,268.12,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,24-10-2024,Food,405.92,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,20-10-2024,Groceries,195.16,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,01-10-2024,Groceries,415.02,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,25-10-2024,Food,325.8,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,02-10-2024,Utilities,131.69,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,03-10-2024,Entertainment,79.89,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,21-10-2024,Healthcare,16.61,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,31-10-2024,Groceries,479.23,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,04-10-2024,Healthcare,370.7,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member2,11-10-2024,Food,356.65,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member3,05-10-2024,Education,382.24,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member3,29-10-2024,Education,409.58,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member3,10-10-2024,Entertainment,244.67,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member3,08-10-2024,Groceries,276.33,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member3,09-10-2024,Travel,276.37,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member3,01-10-2024,Food,31.82,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member3,18-10-2024,Entertainment,60.26,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member3,29-10-2024,Food,213.49,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member3,01-10-2024,Utilities,21.76,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member3,14-10-2024,Education,82.21,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member3,21-10-2024,Entertainment,120.68,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,13-10-2024,Travel,443.27,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,27-10-2024,Groceries,250.99,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,04-10-2024,Utilities,59.85,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,31-10-2024,Entertainment,185.08,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,20-10-2024,Entertainment,67.99,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,30-10-2024,Groceries,448.84,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,20-10-2024,Utilities,97.25,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,17-10-2024,Entertainment,303.81,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,22-10-2024,Education,83.61,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,22-10-2024,Travel,157.77,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,27-10-2024,Entertainment,180.71,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,04-10-2024,Entertainment,458.95,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,22-10-2024,Entertainment,467.11,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,26-10-2024,Travel,401.35,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,26-10-2024,Groceries,432.24,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,05-10-2024,Food,331.37,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,11-10-2024,Utilities,201.39,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,24-10-2024,Food,394.92,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,16-10-2024,Food,42.98,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,19-10-2024,Education,480.2,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,09-10-2024,Utilities,54.32,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,05-10-2024,Utilities,386.09,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,12-10-2024,Entertainment,252.16,113810,20234,5781,2422,2959,2,68
FAM001,FAM001_Member4,16-10-2024,Travel,486.7,113810,20234,5781,2422,2959,2,68
